Age,Gender,StudyHours,Attendance,AssignmentCompletion,ExamScore,SelfAssessment_Level
20,0,18,91,58,79,Moderate
26,1,25,87,62,72,Moderate
21,1,25,87,62,50,Moderate
19,1,25,87,94,82,High
18,1,13,85,97,50,High
27,1,13,85,79,68,Moderate
22,1,13,85,98,40,High
28,1,13,85,81,67,High
20,1,13,85,72,99,Moderate
21,1,21,96,81,63,High
21,1,21,96,55,65,Moderate
20,1,28,61,51,93,Moderate
23,0,10,82,71,66,Moderate
26,0,10,82,65,89,Moderate
20,0,21,91,95,44,High
26,0,21,91,86,91,High
19,0,21,91,93,95,High
26,0,22,82,93,70,High
21,0,22,82,97,86,High
25,0,25,73,82,45,High
27,0,25,73,81,62,High
19,0,25,73,57,54,Moderate
29,0,23,79,98,61,High
18,0,23,79,57,54,Moderate
21,0,23,79,98,97,High
23,0,23,79,51,42,Moderate
26,0,22,95,67,49,Moderate
21,0,22,95,64,40,Moderate
22,0,22,95,56,72,Moderate
24,0,22,95,98,92,High
21,0,22,95,98,64,High
22,0,22,83,73,44,Moderate
20,0,22,83,71,64,Moderate
20,0,22,83,66,87,Moderate
29,0,22,87,100,61,High
27,0,22,87,53,45,Moderate
27,0,22,87,83,83,High
22,0,22,87,89,86,High
26,0,22,87,52,47,Moderate
29,1,16,92,67,66,Moderate
24,1,16,92,74,61,Moderate
25,1,16,92,84,56,High
28,0,21,86,85,69,High
19,0,22,76,50,44,Moderate
26,0,16,81,50,50,Moderate
28,1,23,75,73,100,Moderate
28,1,23,75,65,85,Moderate
22,0,13,76,85,84,High
23,0,13,76,89,63,High
26,0,13,76,62,98,Moderate
28,1,24,64,81,55,High
26,1,24,64,60,63,Moderate
27,1,24,64,89,45,High
19,0,14,97,75,79,Moderate
20,0,14,97,77,57,Moderate
20,0,14,97,94,86,High
29,0,14,97,93,48,High
20,1,25,64,100,93,High
22,1,25,64,57,40,Moderate
21,1,27,86,71,67,Moderate
29,1,27,86,51,69,Moderate
19,1,15,77,90,74,High
28,1,15,77,51,81,Moderate
28,1,26,76,77,48,Moderate
19,1,26,76,98,49,High
29,1,26,76,70,91,Moderate
18,1,22,87,100,82,High
26,1,31,84,60,56,Moderate
22,1,31,84,91,70,High
24,1,19,91,53,66,Moderate
27,1,19,91,65,52,Moderate
19,1,15,93,62,90,Moderate
22,1,15,93,50,56,Moderate
18,1,15,67,61,100,Moderate
20,1,15,67,77,85,Moderate
18,1,15,96,98,73,High
27,0,20,86,50,73,Moderate
24,0,20,86,73,88,Moderate
23,0,20,86,75,76,Moderate
29,1,22,95,66,87,Moderate
26,1,22,79,100,86,High
18,0,25,82,79,72,Moderate
18,0,25,82,88,49,High
23,1,20,97,85,80,High
18,1,20,97,74,91,Moderate
23,1,20,97,74,59,Moderate
28,0,29,96,62,59,Moderate
29,0,18,78,50,67,Moderate
27,1,36,71,94,60,High
28,1,36,71,63,55,Moderate
29,1,24,76,76,58,Moderate
27,1,24,76,90,98,High
26,1,24,76,99,40,High
19,1,24,76,53,86,Moderate
28,1,15,76,61,42,Moderate
24,1,15,76,58,88,Moderate
19,1,14,71,89,63,High
19,1,14,71,60,42,Moderate
26,1,14,71,75,90,Moderate
26,1,23,71,69,46,Moderate
20,1,19,94,69,56,Moderate
18,1,19,94,68,43,Moderate
23,1,19,94,58,56,Moderate
23,1,19,94,83,90,High
26,0,24,63,81,60,High
27,0,24,63,95,89,High
29,0,24,63,58,88,Moderate
26,1,23,87,67,90,Moderate
29,1,20,67,85,57,High
24,1,20,67,83,100,High
26,1,20,67,59,63,Moderate
29,0,15,74,88,65,High
19,0,15,74,67,40,Moderate
23,1,11,62,72,53,Moderate
20,1,11,62,69,85,Moderate
22,1,11,62,82,41,High
24,1,11,62,69,80,Moderate
24,1,11,62,79,71,Moderate
23,1,11,62,76,99,Moderate
23,1,17,71,68,55,Moderate
28,1,25,91,62,57,Moderate
26,1,25,91,54,68,Moderate
27,1,25,91,71,42,Moderate
20,1,25,91,73,48,Moderate
26,1,21,95,72,100,Moderate
22,1,21,95,58,56,Moderate
24,1,21,95,88,94,High
20,1,21,95,99,71,High
18,1,21,95,88,76,High
23,0,13,69,56,65,Moderate
18,0,13,69,74,72,Moderate
23,0,13,69,96,61,High
28,0,13,69,58,50,Moderate
19,1,21,79,59,80,Moderate
23,1,21,79,85,55,High
26,1,21,79,75,75,Moderate
26,1,21,91,83,98,High
19,1,20,81,73,56,Moderate
22,1,20,81,83,81,High
28,0,13,87,88,61,High
28,0,22,94,83,56,High
23,0,22,94,98,96,High
27,1,23,60,92,67,High
19,1,23,60,93,60,High
29,1,23,60,63,62,Moderate
24,1,12,90,88,94,High
18,1,12,90,62,70,Moderate
20,1,12,90,67,73,Moderate
19,1,14,82,60,41,Moderate
27,1,14,82,70,78,Moderate
20,1,14,82,63,48,Moderate
20,1,23,81,59,57,Moderate
19,1,23,81,90,54,High
27,1,23,81,79,57,Moderate
22,1,23,74,61,84,Moderate
28,1,23,74,72,56,Moderate
26,1,23,74,65,62,Moderate
27,0,43,86,56,58,Moderate
23,0,23,77,55,64,Moderate
22,0,23,77,90,78,High
29,0,23,77,52,91,Moderate
22,0,23,77,59,51,Moderate
27,1,27,89,51,67,Moderate
18,1,27,89,77,75,Moderate
25,1,27,89,98,97,High
29,1,26,94,100,86,High
21,1,26,94,72,74,Moderate
22,0,24,66,56,84,Moderate
24,1,18,78,76,83,Moderate
22,0,25,76,98,68,High
22,0,25,76,56,83,Moderate
29,1,15,87,59,59,Moderate
18,1,15,87,95,87,High
24,1,15,87,52,97,Moderate
26,1,19,70,56,77,Moderate
23,1,19,70,53,91,Moderate
26,0,20,95,71,55,Moderate
19,0,10,64,61,65,Moderate
19,0,10,64,62,68,Moderate
23,0,10,64,67,59,Moderate
23,0,10,64,62,40,Moderate
29,0,17,69,78,97,Moderate
28,0,27,98,73,42,Moderate
19,0,27,98,90,84,High
27,0,20,98,88,71,High
21,1,14,64,53,58,Moderate
25,1,16,61,77,68,Moderate
25,1,16,61,84,53,High
25,1,16,61,91,78,High
19,1,24,66,69,62,Moderate
21,1,24,66,69,64,Moderate
18,1,16,100,80,76,High
20,1,16,100,78,77,Moderate
27,0,21,67,73,89,Moderate
26,0,21,67,99,60,High
19,0,21,67,72,100,Moderate
21,1,16,94,81,92,High
28,1,16,94,91,92,High
21,1,16,94,50,49,Moderate
25,1,16,94,51,97,Moderate
26,0,33,61,55,65,Moderate
29,0,24,84,93,69,High
21,0,24,84,56,61,Moderate
29,0,24,84,94,67,High
27,0,24,84,84,70,High
24,1,8,71,80,52,High
23,1,8,71,86,58,High
28,1,8,71,83,89,High
26,1,8,71,54,45,Moderate
24,1,8,71,63,80,Moderate
21,1,21,94,61,48,Moderate
23,1,21,94,59,48,Moderate
28,1,16,71,62,60,Moderate
20,1,16,71,77,59,Moderate
22,1,16,71,64,73,Moderate
28,1,16,71,99,75,High
24,1,18,92,51,66,Moderate
24,1,18,92,68,43,Moderate
28,0,17,92,74,56,Moderate
28,1,16,78,75,58,Moderate
23,1,16,78,94,63,High
21,1,12,93,76,44,Moderate
29,0,26,77,60,62,Moderate
22,0,26,77,88,61,High
21,0,26,77,86,63,High
29,1,26,71,72,55,Moderate
29,1,26,71,69,88,Moderate
22,1,11,81,82,74,High
26,1,11,81,76,75,Moderate
25,1,17,78,54,57,Moderate
26,0,28,78,79,92,Moderate
19,0,28,78,52,40,Moderate
21,0,16,64,86,67,High
29,0,16,64,61,48,Moderate
18,0,16,64,71,55,Moderate
24,0,16,64,60,66,Moderate
26,0,25,69,82,68,High
29,0,25,69,64,57,Moderate
22,1,14,68,68,92,Moderate
19,0,14,83,95,58,High
22,0,14,83,54,68,Moderate
24,0,14,83,57,94,Moderate
23,0,14,83,73,56,Moderate
28,0,18,75,52,63,Moderate
23,1,30,81,76,79,Moderate
19,1,30,81,65,58,Moderate
21,0,11,68,73,48,Moderate
21,0,11,68,76,41,Moderate
22,1,17,66,70,50,Moderate
23,1,17,66,83,52,High
21,1,17,66,90,41,High
28,1,17,66,65,47,Moderate
20,0,29,77,87,41,High
29,0,29,77,100,71,High
27,1,11,76,89,65,High
25,1,11,76,99,84,High
25,1,11,76,89,94,High
29,1,27,61,73,43,Moderate
21,1,27,61,51,91,Moderate
25,0,14,82,92,79,High
27,0,14,82,85,79,High
28,0,14,82,77,69,Moderate
21,1,23,82,70,65,Moderate
23,0,21,88,61,75,Moderate
29,1,20,70,51,99,Moderate
27,0,21,98,72,45,Moderate
18,0,21,98,65,73,Moderate
24,0,21,98,89,59,High
19,0,21,98,93,86,High
18,0,21,98,53,67,Moderate
28,0,21,98,67,64,Moderate
27,0,21,98,99,49,High
22,0,21,98,80,77,High
19,1,24,65,60,41,Moderate
22,1,24,65,79,78,Moderate
21,1,24,65,98,47,High
22,0,30,80,63,78,Moderate
28,0,30,80,55,78,Moderate
19,0,30,80,90,100,High
21,0,30,80,89,44,High
19,0,33,62,90,55,High
21,0,8,73,85,71,High
27,0,8,73,93,55,High
20,1,19,66,53,64,Moderate
26,1,24,88,100,95,High
29,1,24,88,81,80,High
25,0,19,60,83,42,High
29,0,19,60,54,41,Moderate
29,0,16,67,82,98,High
18,1,25,84,80,50,High
18,1,25,84,96,65,High
20,1,25,84,69,99,Moderate
23,1,25,84,82,81,High
25,0,22,73,63,92,Moderate
23,0,22,73,56,82,Moderate
29,0,22,73,97,41,High
18,1,22,63,63,74,Moderate
26,1,22,63,87,69,High
27,0,24,68,66,93,Moderate
20,0,24,68,89,93,High
20,0,17,86,53,75,Moderate
22,1,24,71,77,91,Moderate
25,1,24,71,64,82,Moderate
21,0,24,60,73,75,Moderate
23,0,24,60,97,95,High
18,1,28,99,52,83,Moderate
21,0,16,84,58,69,Moderate
18,0,16,84,98,93,High
23,0,16,84,87,58,High
27,0,16,84,72,62,Moderate
20,0,16,84,70,100,Moderate
28,1,23,79,50,51,Moderate
22,0,19,83,98,99,High
20,0,28,71,56,69,Moderate
18,0,28,71,97,94,High
26,0,28,71,77,46,Moderate
25,1,24,90,70,73,Moderate
24,1,24,90,67,92,Moderate
21,1,18,80,84,65,High
20,1,18,80,63,91,Moderate
25,1,18,80,63,50,Moderate
22,0,22,63,70,47,Moderate
26,0,22,63,61,88,Moderate
29,0,22,63,93,67,High
26,0,22,63,79,62,Moderate
23,0,22,63,99,41,High
25,1,19,89,95,66,High
29,1,21,92,73,53,Moderate
23,1,21,92,53,68,Moderate
20,0,24,72,74,72,Moderate
21,0,24,72,72,52,Moderate
21,0,33,77,76,87,Moderate
21,0,33,77,75,77,Moderate
26,0,14,96,65,65,Moderate
18,0,14,96,51,93,Moderate
22,1,13,94,82,98,High
25,1,13,94,99,55,High
29,0,27,81,96,94,High
22,0,27,81,53,98,Moderate
24,0,27,81,83,73,High
26,1,25,88,60,83,Moderate
22,1,25,88,53,45,Moderate
27,1,25,88,63,82,Moderate
21,1,24,95,85,95,High
29,1,24,95,67,87,Moderate
27,0,24,80,52,42,Moderate
19,0,24,80,100,50,High
20,0,15,90,85,95,High
19,1,16,76,76,65,Moderate
23,1,16,76,70,83,Moderate
23,1,16,76,95,63,High
19,1,16,76,96,81,High
20,0,26,95,68,63,Moderate
21,0,26,95,74,75,Moderate
29,0,26,95,93,54,High
19,0,15,76,90,55,High
25,0,15,76,55,79,Moderate
20,1,18,69,59,74,Moderate
21,1,18,69,99,92,High
28,1,18,69,80,94,High
27,1,18,69,53,78,Moderate
20,1,18,69,66,85,Moderate
24,0,22,74,57,70,Moderate
25,0,22,74,98,81,High
27,1,21,90,75,43,Moderate
24,1,21,90,95,59,High
29,1,21,90,58,68,Moderate
19,1,21,90,72,42,Moderate
23,1,21,70,68,56,Moderate
22,1,17,75,67,40,Moderate
29,1,21,99,55,87,Moderate
22,1,21,99,90,51,High
20,1,21,99,100,52,High
28,1,21,99,77,59,Moderate
26,0,12,63,51,73,Moderate
29,1,19,84,75,57,Moderate
28,1,19,84,71,99,Moderate
26,1,22,84,85,92,High
22,1,22,84,68,87,Moderate
20,1,22,84,78,48,Moderate
29,1,22,84,66,89,Moderate
24,1,29,77,71,94,Moderate
29,0,25,77,71,59,Moderate
22,0,25,77,70,85,Moderate
18,1,19,62,95,98,High
22,1,19,62,82,66,High
25,0,20,66,85,98,High
26,1,18,64,52,94,Moderate
26,1,18,64,65,72,Moderate
25,1,18,64,57,99,Moderate
28,1,18,64,96,60,High
22,0,15,64,97,61,High
26,0,15,64,79,55,Moderate
26,0,23,84,75,76,Moderate
24,0,23,84,61,62,Moderate
29,0,23,84,87,49,High
22,0,23,84,52,67,Moderate
25,1,29,68,51,84,Moderate
27,1,21,69,80,58,High
27,0,20,73,59,50,Moderate
21,1,21,68,76,67,Moderate
25,1,20,61,71,50,Moderate
25,1,20,61,64,52,Moderate
27,1,29,81,81,88,High
19,1,29,81,84,79,High
26,1,26,96,55,69,Moderate
24,1,26,96,58,41,Moderate
22,1,26,96,98,55,High
19,0,33,67,83,51,High
26,0,33,67,90,54,High
19,0,15,92,92,100,High
27,0,15,92,70,93,Moderate
26,0,15,92,68,86,Moderate
22,1,25,92,76,83,Moderate
25,0,33,76,95,97,High
28,0,33,76,69,44,Moderate
26,0,33,76,53,88,Moderate
27,0,33,76,85,45,High
25,0,15,67,74,43,Moderate
20,0,15,70,88,41,High
27,0,15,70,76,49,Moderate
25,0,16,71,59,55,Moderate
26,0,16,71,89,73,High
27,1,7,82,54,44,Moderate
18,1,7,82,60,75,Moderate
24,0,17,76,59,85,Moderate
29,0,22,99,76,98,Moderate
21,0,22,99,73,86,Moderate
25,0,31,69,76,80,Moderate
24,0,31,69,76,61,Moderate
21,0,26,91,73,99,Moderate
20,0,26,91,81,89,High
28,0,26,91,70,91,Moderate
18,1,17,74,72,73,Moderate
29,1,15,66,72,94,Moderate
28,1,31,86,78,85,Moderate
18,1,31,86,66,43,Moderate
21,1,31,86,97,74,High
19,1,31,86,55,79,Moderate
23,0,27,83,79,94,Moderate
26,0,27,83,51,70,Moderate
29,0,27,83,52,75,Moderate
20,1,17,79,91,95,High
27,1,17,79,50,93,Moderate
19,1,17,79,95,64,High
24,0,10,80,75,57,Moderate
19,1,19,64,87,69,High
25,0,10,96,50,95,Moderate
26,1,16,62,54,55,Moderate
27,1,16,62,75,51,Moderate
21,1,16,62,72,64,Moderate
19,1,16,62,71,82,Moderate
24,1,17,77,92,41,High
28,1,17,77,87,78,High
28,1,14,65,71,77,Moderate
25,1,14,65,60,41,Moderate
26,1,14,65,61,96,Moderate
20,1,14,65,62,50,Moderate
20,0,19,80,52,73,Moderate
22,1,24,91,61,71,Moderate
28,1,24,91,56,44,Moderate
21,1,24,91,100,94,High
27,1,13,70,91,44,High
25,1,13,70,54,87,Moderate
19,1,11,79,73,57,Moderate
18,0,16,94,78,49,Moderate
20,0,27,62,89,68,High
20,0,27,62,52,48,Moderate
27,0,27,62,55,51,Moderate
28,1,20,65,76,85,Moderate
25,1,32,68,62,74,Moderate
19,1,32,68,71,89,Moderate
20,1,31,76,52,87,Moderate
24,1,31,76,73,65,Moderate
27,1,31,76,72,84,Moderate
26,1,31,76,84,41,High
28,1,26,74,69,80,Moderate
19,0,24,86,62,97,Moderate
29,0,24,86,52,98,Moderate
27,0,24,86,91,40,High
20,1,28,88,73,60,Moderate
25,0,24,74,53,68,Moderate
28,0,24,74,95,48,High
26,0,24,74,52,68,Moderate
22,0,24,74,85,88,High
25,1,26,83,78,96,Moderate
26,1,26,83,96,91,High
27,1,26,83,67,93,Moderate
21,0,9,74,78,68,Moderate
21,0,9,74,77,84,Moderate
22,0,9,74,79,67,Moderate
28,1,13,63,82,67,High
19,1,13,63,93,70,High
27,0,8,100,93,51,High
24,0,8,100,78,68,Moderate
24,1,18,65,51,97,Moderate
21,1,18,65,67,86,Moderate
28,1,18,65,97,86,High
28,0,29,95,68,53,Moderate
21,0,29,95,82,98,High
23,0,20,72,61,82,Moderate
27,0,20,72,77,66,Moderate
26,0,30,86,53,73,Moderate
29,0,30,86,71,45,Moderate
19,0,30,86,54,62,Moderate
24,1,12,73,57,57,Moderate
20,1,12,73,97,84,High
19,1,10,76,87,68,High
19,1,10,76,96,85,High
22,1,10,76,77,88,Moderate
22,1,10,76,83,100,High
23,0,20,70,97,58,High
28,1,22,74,79,75,Moderate
21,1,22,74,63,79,Moderate
22,1,22,74,84,67,High
18,0,20,76,95,71,High
20,1,8,89,77,94,Moderate
26,1,8,89,56,75,Moderate
22,1,8,89,94,70,High
21,1,12,98,56,88,Moderate
21,1,12,98,76,94,Moderate
18,1,12,98,87,45,High
18,1,24,62,75,85,Moderate
24,1,24,62,56,75,Moderate
19,0,22,80,97,88,High
20,0,22,80,64,62,Moderate
18,0,22,80,71,42,Moderate
18,0,22,80,70,56,Moderate
23,0,22,80,78,85,Moderate
18,0,22,80,72,53,Moderate
20,1,14,83,94,77,High
19,1,14,83,99,83,High
24,1,14,62,96,77,High
21,1,14,62,76,99,Moderate
27,1,20,83,76,58,Moderate
29,1,20,83,65,42,Moderate
26,1,23,95,77,73,Moderate
24,1,23,95,98,63,High
19,1,17,61,78,73,Moderate
18,1,17,61,61,88,Moderate
19,0,15,89,80,86,High
21,0,15,89,88,77,High
29,0,15,89,96,71,High
23,1,19,97,65,96,Moderate
27,1,14,86,96,92,High
23,0,13,62,85,88,High
21,0,13,62,61,64,Moderate
18,0,13,62,65,75,Moderate
25,0,13,62,81,49,High
26,0,20,79,67,51,Moderate
18,1,21,88,78,97,Moderate
27,1,21,88,51,57,Moderate
23,0,19,79,76,61,Moderate
23,0,19,79,61,97,Moderate
18,0,19,79,60,67,Moderate
28,1,24,69,61,72,Moderate
19,0,25,63,96,91,High
20,0,17,83,87,67,High
19,0,17,85,64,81,Moderate
29,0,17,85,53,97,Moderate
24,0,18,80,86,54,High
24,0,18,80,74,61,Moderate
29,0,18,80,90,71,High
24,0,18,80,74,83,Moderate
26,0,6,93,83,81,High
18,0,11,94,86,41,High
22,0,11,94,91,40,High
22,0,11,94,75,50,Moderate
21,0,11,94,83,100,High
27,1,28,85,75,87,Moderate
22,1,28,85,54,43,Moderate
23,0,30,61,89,83,High
27,0,19,88,77,45,Moderate
27,0,19,88,74,68,Moderate
21,1,38,86,99,53,High
28,0,27,74,83,45,High
28,0,27,74,66,57,Moderate
20,0,27,74,76,62,Moderate
19,0,27,74,66,69,Moderate
26,0,14,65,72,75,Moderate
20,0,14,65,93,96,High
19,0,21,60,79,76,Moderate
27,0,21,60,50,40,Moderate
19,0,21,60,63,74,Moderate
18,0,21,60,56,63,Moderate
28,1,15,97,82,98,High
24,1,15,97,53,97,Moderate
19,1,15,97,69,41,Moderate
28,0,11,65,91,78,High
21,0,11,65,70,97,Moderate
18,0,14,73,90,75,High
22,0,14,73,81,40,High
22,0,14,73,95,69,High
28,0,14,73,98,68,High
28,0,14,73,60,75,Moderate
18,0,14,73,98,93,High
28,0,14,73,53,68,Moderate
22,0,30,75,96,40,High
22,0,30,75,60,63,Moderate
19,0,30,75,77,92,Moderate
23,0,30,75,55,69,Moderate
22,0,30,75,57,64,Moderate
27,0,20,61,68,56,Moderate
29,0,20,61,91,70,High
25,0,20,61,72,82,Moderate
28,0,20,61,69,91,Moderate
29,1,15,73,59,78,Moderate
28,1,29,92,99,83,High
